id_produto,nome_produto,categoria,preco
1,Notebook Gamer,Notebooks,5400
2,Mouse Optico,Mouses,120
3,Teclado Mecanico,Teclados,350
4,"Monitor LED 27""",Monitores,1500
5,HD Externo 1TB,Armazenamento,450
6,SSD 480GB,Armazenamento,600
7,Placa de Video RTX 3080,Componentes,7000
8,Fonte 650W,Componentes,400
9,Gabinete Gamer,Acessorios,350
10,Headset Bluetooth,Acessorios,250
11,Webcam Full HD,Acessorios,300
12,Processador Ryzen 7,Componentes,2000
13,Memoria RAM 16GB,Componentes,800
14,Cooler para CPU,Componentes,120
15,Mousepad Gamer,Acessorios,60
16,Cadeira Gamer,Acessorios,700
17,Microfone Condensador,Acessorios,400
18,Placa-Mae B450,Componentes,1000
19,Pendrive 64GB,Armazenamento,100
20,Roteador Wi-Fi,Redes,200
21,Notebook Gamer,Notebooks,5400
22,Mouse Optico,Mouses,120
23,Teclado Mecanico,Teclados,350
24,"Monitor LED 27""",Monitores,1500
25,HD Externo 1TB,Armazenamento,450
26,SSD 480GB,Armazenamento,600
27,Placa de Video RTX 3080,Componentes,7000
28,Fonte 650W,Componentes,400
29,Gabinete Gamer,Acessorios,350
30,Headset Bluetooth,Acessorios,250
31,Webcam Full HD,Acessorios,300
32,Processador Ryzen 7,Componentes,2000
33,Memoria RAM 16GB,Componentes,800
34,Cooler para CPU,Componentes,120
35,Mousepad Gamer,Acessorios,60
36,Cadeira Gamer,Acessorios,700
37,Microfone Condensador,Acessorios,400
38,Placa-Mae B450,Componentes,1000
39,Pendrive 64GB,Armazenamento,100
40,Roteador Wi-Fi,Redes,200
41,Notebook Gamer,Notebooks,5400
42,Mouse Optico,Mouses,120
43,Teclado Mecanico,Teclados,350
44,"Monitor LED 27""",Monitores,1500
45,HD Externo 1TB,Armazenamento,450
46,SSD 480GB,Armazenamento,600
47,Placa de Video RTX 3080,Componentes,7000
48,Fonte 650W,Componentes,400
49,Gabinete Gamer,Acessorios,350
50,Headset Bluetooth,Acessorios,250
51,Webcam Full HD,Acessorios,300
52,Processador Ryzen 7,Componentes,2000
53,Memoria RAM 16GB,Componentes,800
54,Cooler para CPU,Componentes,120
55,Mousepad Gamer,Acessorios,60
56,Cadeira Gamer,Acessorios,700
57,Microfone Condensador,Acessorios,400
58,Placa-Mae B450,Componentes,1000
59,Pendrive 64GB,Armazenamento,100
60,Roteador Wi-Fi,Redes,200
61,Notebook Gamer,Notebooks,5400
62,Mouse Optico,Mouses,120
63,Teclado Mecanico,Teclados,350
64,"Monitor LED 27""",Monitores,1500
65,HD Externo 1TB,Armazenamento,450
66,SSD 480GB,Armazenamento,600
67,Placa de Video RTX 3080,Componentes,7000
68,Fonte 650W,Componentes,400
69,Gabinete Gamer,Acessorios,350
70,Headset Bluetooth,Acessorios,250
71,Webcam Full HD,Acessorios,300
72,Processador Ryzen 7,Componentes,2000
73,Memoria RAM 16GB,Componentes,800
74,Cooler para CPU,Componentes,120
75,Mousepad Gamer,Acessorios,60
76,Cadeira Gamer,Acessorios,700
77,Microfone Condensador,Acessorios,400
78,Placa-Mae B450,Componentes,1000
79,Pendrive 64GB,Armazenamento,100
80,Roteador Wi-Fi,Redes,200
81,Notebook Gamer,Notebooks,5400
82,Mouse Optico,Mouses,120
83,Teclado Mecanico,Teclados,350
84,"Monitor LED 27""",Monitores,1500
85,HD Externo 1TB,Armazenamento,450
86,SSD 480GB,Armazenamento,600
87,Placa de Video RTX 3080,Componentes,7000
88,Fonte 650W,Componentes,400
89,Gabinete Gamer,Acessorios,350
90,Headset Bluetooth,Acessorios,250
91,Webcam Full HD,Acessorios,300
92,Processador Ryzen 7,Componentes,2000
93,Memoria RAM 16GB,Componentes,800
94,Cooler para CPU,Componentes,120
95,Mousepad Gamer,Acessorios,60
96,Cadeira Gamer,Acessorios,700
97,Microfone Condensador,Acessorios,400
98,Placa-Mae B450,Componentes,1000
99,Pendrive 64GB,Armazenamento,100
100,Roteador Wi-Fi,Redes,200
